Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
132;0;0;50;0;50;0
133;1.0206;0;50;1.0879;50;1.2868
134;3.8413;1.3776;50;3.9758;50;4.3736
135;7.4413;4.5552;50;7.5758;50;7.9736
136;11.0413;8.1552;50;11.1758;50;11.5736
137;14.6413;11.7552;50;14.7758;50;15.1736
138;18.2413;15.3552;50;18.3758;50;18.7736
139;21.8413;18.9552;50;21.9758;50;22.3736
140;25.4325;22.4504;50;25.5658;50;25.9599
141;28.0618;25.4675;50;28.1279;50;28.3231
142;28.9;27.8354;50;28.9;50;28.9
143;28.9;28.8907;50;28.9;50;28.9
144;28.9;28.9;50;28.9;50;28.9
145;28.9;28.9;50;28.9;50;28.9
146;28.9;28.9;50;28.9;50;28.9
147;28.9;28.9;50;28.9;50;28.9
148;28.9;28.9;50;28.9;50;28.9
149;28.9;28.9;50;28.9;50;28.9
150;28.9;28.9;50;28.9;50;28.9
151;28.9;28.9;50;28.9;50;28.9
152;28.9;28.9;50;28.9;50;28.9
153;28.9;28.9;50;28.9;50;28.9
154;28.9;28.9;50;28.9;50;28.9
155;28.9;28.9;50;28.9;50;28.9
156;28.9;28.9;50;28.9;50;28.9
157;28.9;28.9;50;28.9;50;28.9
158;28.9;28.9;50;28.9;50;28.9
159;28.9;28.9;50;28.9;50;28.9
160;27.5604;28.9;50;27.497;50;27.3096
161;24.5246;27.651;50;24.3979;50;24.023
162;21.1323;24.602;50;21.0056;50;20.6307
163;17.7401;21.002;50;17.6133;50;17.2384
164;14.3478;17.402;50;14.221;50;13.8462
165;10.9555;13.802;50;10.8287;50;10.4539
166;7.5775;10.202;50;7.4718;50;7.1049
167;4.2958;6.6559;50;4.1874;50;3.8286
168;1.348;3.2034;50;1.2819;50;1.1025
169;0;0.7485;50;0;50;0
170;0;0;50;0;50;0
171;0;0;50;0;50;0
172;0;0;50;0;50;0
173;0;0;50;0;50;0
174;0;0;50;0;50;0
175;0;0;50;0;50;0
176;0;0;50;0;50;0
177;0;0;50;0;50;0
178;0;0;50;0;50;0
179;0;0;50;0;50;0
180;0;0;50;0;50;0
181;0;0;50;0;50;0
182;0;0;50;0;50;0
183;0;0;50;0;50;0
184;0;0;50;0;50;0
185;0;0;50;0;50;0
186;0;0;50;0;50;0
187;0;0;50;0;50;0
188;0;0;50;0;50;0
189;0;0;50;0;50;0
190;0;0;50;0;50;0
191;0;0;50;0;50;0
192;0;0;50;0;50;0
193;0;0;50;0;50;0
194;0;0;50;0;50;0
195;0;0;50;0;50;0
196;0;0;50;0;50;0
197;0;0;50;0;50;0
198;0;0;50;0;50;0
199;0;0;50;0;50;0
200;0;0;50;0;50;0
201;1.0035;0;50;1.0988;50;1.2977
202;3.8069;1.7305;50;3.9976;50;4.3954
203;7.4069;5.2609;50;7.5976;50;7.9954
204;10.9947;8.8609;50;11.1826;50;11.5746
205;13.1912;12.1305;50;13.2838;50;13.4769
206;13.6;13.6;50;13.6;50;13.6
207;13.6;13.6;50;13.6;50;13.6
208;13.6;13.6;50;13.6;50;13.6
209;14.2763;13.6;50;14.7385;50;14.899
210;16.7525;14.8816;50;17.677;50;17.9981
211;20.3525;17.9631;50;21.277;50;21.5981
212;23.9517;21.5631;50;24.8731;50;25.1911
213;27.4122;25.1596;50;28.1346;50;28.281
214;29.3368;28.2781;50;29.6;50;29.5889
215;29.6;29.6;50;29.6;50;29.6914
216;30.8892;29.8344;50;31.1983;50;31.4061
217;33.7723;31.5828;50;34.3749;50;34.6021
218;36.433;34.6679;50;36.7266;50;36.8374
219;37.5;36.8695;50;37.5;50;37.5
220;37.5;37.5;50;37.5;50;37.5
221;37.5;37.5;50;37.5;50;37.5
222;37.5;37.5;50;37.5;50;37.5
223;37.5;37.5;50;37.5;50;37.5
224;37.5;37.5;50;37.5;50;37.5
225;37.5;37.5;50;37.5;50;37.5
226;37.5;37.5;50;37.5;50;37.5
227;37.5;37.5;50;37.5;50;37.5
228;37.5;37.5;50;37.5;50;37.5
229;37.5;37.5;50;37.5;50;37.5
230;37.5;37.5;50;37.5;50;37.5
231;36.5443;37.5;50;36.2611;50;36.0903
232;34.4443;35.9246;50;34.1611;50;33.9903
233;33.3;33.8246;50;33.3;50;33.3
234;33.3;33.3;50;33.3;50;33.3
235;33.3;33.3;50;33.0458;50;32.8766
236;31.5488;32.717;50;30.9916;50;30.6533
237;27.9977;30.334;50;27.3916;50;27.0533
238;24.3977;26.734;50;23.7916;50;23.4533
239;20.7977;23.134;50;20.1916;50;19.8533
